session,trial,staircase,orientation,response,correct,contrast1,contrast2
1,1,2,right,left,False,0.6,0.6
1,1,3,left,right,False,0.65,0.6
1,2,2,right,right,True,0.65,0.65
1,2,3,left,left,True,0.65,0.65
1,3,2,right,right,True,0.65,0.65
1,3,3,right,right,True,0.6,0.65
1,4,2,right,right,True,0.6,0.65
1,4,3,left,right,False,0.6,0.65
1,5,2,left,right,False,0.6,0.7
1,5,3,right,right,True,0.65,0.7
1,6,2,right,right,True,0.65,0.7
1,6,3,left,left,True,0.65,0.7
1,7,2,right,right,True,0.65,0.7
1,7,3,right,left,False,0.6,0.7
1,8,2,right,left,False,0.6,0.75
1,8,3,right,left,False,0.65,0.75
1,9,2,right,right,True,0.65,0.8
1,9,3,left,right,False,0.65,0.8
1,10,2,left,left,True,0.65,0.85
1,10,3,right,left,False,0.6,0.85
1,11,2,right,right,True,0.6,0.9
1,11,3,left,right,False,0.6,0.9
1,12,2,left,right,False,0.6,0.95
1,12,3,right,left,False,0.65,0.95
1,13,2,right,right,True,0.65,1.0
1,13,3,left,left,True,0.65,1.0
1,14,2,left,right,False,0.65,1.0
1,14,3,left,left,True,0.7,1.0
1,15,2,right,left,False,0.7,1.0
1,15,3,right,right,True,0.75,1.0
1,16,2,left,right,False,0.75,0.95
1,16,3,right,left,False,0.8,0.95
1,17,2,left,right,False,0.8,1.0
1,17,3,left,left,True,0.85,1.0
1,18,2,right,left,False,0.85,1.0
1,18,3,left,right,False,0.9,1.0
1,19,2,left,left,True,0.9,1.05
1,19,3,left,left,True,0.9,1.05
1,20,2,left,left,True,0.9,1.05
1,20,3,left,left,True,0.85,1.05
1,21,2,right,left,False,0.85,1.05
1,21,3,right,right,True,0.9,1.05
1,22,2,right,left,False,0.9,1.0
1,22,3,left,right,False,0.95,1.0
1,23,2,left,right,False,0.95,1.05
1,23,3,right,right,True,1.0,1.05
1,24,2,right,right,True,1.0,1.05
1,24,3,left,left,True,1.0,1.05
1,25,2,right,right,True,1.0,1.05
1,25,3,right,left,False,0.95,1.05
2,1,2,right,right,True,0.95,1.05
2,1,3,left,right,False,0.95,1.05
2,2,2,left,left,True,0.95,1.1
2,2,3,right,left,False,0.9,1.1
2,3,2,right,left,False,0.9,1.15
2,3,3,right,right,True,0.95,1.15
2,4,2,right,right,True,0.95,1.15
2,4,3,right,right,True,0.95,1.15
2,5,2,right,right,True,0.95,1.15
2,5,3,left,right,False,0.9,1.15
2,6,2,right,right,True,0.9,1.2
2,6,3,left,left,True,0.9,1.2
2,7,2,right,right,True,0.9,1.2
2,7,3,right,right,True,0.85,1.2
2,8,2,left,right,False,0.85,1.2
2,8,3,right,left,False,0.9,1.2
2,9,2,right,left,False,0.9,1.25
2,9,3,left,right,False,0.95,1.25
2,10,2,left,left,True,0.95,1.3
2,10,3,left,left,True,0.95,1.3
2,11,2,right,left,False,0.95,1.3
2,11,3,left,right,False,1.0,1.3
2,12,2,left,left,True,1.0,1.35
2,12,3,left,left,True,1.0,1.35
2,13,2,left,left,True,1.0,1.35
2,13,3,right,right,True,0.95,1.35
2,14,2,left,left,True,0.95,1.35
2,14,3,right,right,True,0.95,1.35
2,15,2,right,left,False,0.95,1.3
2,15,3,right,right,True,1.0,1.3
2,16,2,left,left,True,1.0,1.3
2,16,3,left,right,False,1.0,1.3
2,17,2,right,right,True,1.0,1.35
2,17,3,left,left,True,0.95,1.35
2,18,2,right,right,True,0.95,1.35
2,18,3,right,left,False,0.95,1.35
2,19,2,left,left,True,0.95,1.4
2,19,3,right,right,True,0.9,1.4
2,20,2,left,left,True,0.9,1.4
2,20,3,left,right,False,0.9,1.4
2,21,2,left,left,True,0.9,1.45
2,21,3,left,left,True,0.85,1.45
2,22,2,left,left,True,0.85,1.45
2,22,3,right,right,True,0.85,1.45
2,23,2,left,left,True,0.85,1.45
2,23,3,right,right,True,0.8,1.45
2,24,2,left,left,True,0.8,1.4
2,24,3,right,right,True,0.8,1.4
2,25,2,right,left,False,0.8,1.4
2,25,3,right,right,True,0.85,1.4
3,1,2,left,left,True,0.85,1.4
3,1,3,right,right,True,0.85,1.4
3,2,2,left,left,True,0.85,1.4
3,2,3,left,right,False,0.8,1.4
3,3,2,right,right,True,0.8,1.45
3,3,3,right,right,True,0.8,1.45
3,4,2,right,left,False,0.8,1.45
3,4,3,left,right,False,0.85,1.45
3,5,2,left,left,True,0.85,1.5
3,5,3,right,right,True,0.85,1.5
3,6,2,right,right,True,0.85,1.5
3,6,3,left,right,False,0.8,1.5
3,7,2,right,right,True,0.8,1.55
3,7,3,right,left,False,0.8,1.55
3,8,2,right,right,True,0.8,1.6
3,8,3,right,right,True,0.75,1.6
3,9,2,right,right,True,0.75,1.6
3,9,3,left,right,False,0.75,1.6
3,10,2,right,left,False,0.75,1.65
3,10,3,right,left,False,0.8,1.65
3,11,2,right,right,True,0.8,1.7
3,11,3,right,right,True,0.8,1.7
3,12,2,left,left,True,0.8,1.7
3,12,3,right,right,True,0.75,1.7
3,13,2,left,left,True,0.75,1.7
3,13,3,right,right,True,0.75,1.7
3,14,2,left,left,True,0.75,1.65
3,14,3,left,right,False,0.7,1.65
3,15,2,right,right,True,0.7,1.7
3,15,3,left,left,True,0.7,1.7
3,16,2,left,left,True,0.7,1.7
3,16,3,right,right,True,0.65,1.7
3,17,2,right,right,True,0.65,1.7
3,17,3,left,left,True,0.65,1.7
3,18,2,left,left,True,0.65,1.65
3,18,3,left,left,True,0.6,1.65
