session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,D,D,True,12,12
1,1,3,J,J,True,12,12
1,2,2,K,K,True,12,12
1,2,3,D,D,True,11,12
1,3,2,K,K,True,11,12
1,3,3,S,S,True,11,12
1,4,2,L,L,True,11,11
1,4,3,G,G,True,10,11
1,5,2,L,L,True,10,11
1,5,3,L,L,True,10,11
1,6,2,L,L,True,10,11
1,6,3,D,D,True,9,11
1,7,2,S,S,True,9,10
1,7,3,G,G,True,9,10
1,8,2,J,J,True,9,10
1,8,3,K,K,True,8,10
1,9,2,F,F,True,8,10
1,9,3,J,J,True,8,10
1,10,2,S,S,True,8,9
1,10,3,G,G,True,7,9
1,11,2,G,G,True,7,9
1,11,3,F,F,True,7,9
1,12,2,K,K,True,7,9
1,12,3,S,S,True,6,9
1,13,2,F,F,True,6,8
1,13,3,K,J,False,6,8
1,14,2,H,F,False,6,9
1,14,3,S,S,True,7,9
1,15,2,G,G,True,7,9
1,15,3,K,K,True,7,9
1,16,2,G,G,True,7,9
1,16,3,H,H,True,6,9
1,17,2,D,D,True,6,8
1,17,3,S,S,True,6,8
1,18,2,J,J,True,6,8
1,18,3,H,H,True,5,8
1,19,2,S,S,True,5,8
1,19,3,H,H,True,5,8
1,20,2,J,H,False,5,7
1,20,3,L,D,False,6,7
1,21,2,K,K,True,6,8
1,21,3,S,S,True,6,8
1,22,2,S,S,True,6,8
1,22,3,A,A,True,5,8
1,23,2,S,S,True,5,8
1,23,3,D,D,True,5,8
1,24,2,H,S,False,5,7
1,24,3,D,D,True,6,7
1,25,2,S,S,True,6,7
1,25,3,A,A,True,6,7
2,1,2,L,A,False,6,7
2,1,3,L,L,True,7,7
2,2,2,G,G,True,7,7
2,2,3,H,H,True,7,7
2,3,2,S,S,True,7,7
2,3,3,A,A,True,6,7
2,4,2,L,J,False,6,6
2,4,3,A,A,True,7,6
2,5,2,H,J,False,7,6
2,5,3,D,D,True,8,6
2,6,2,S,S,True,8,6
2,6,3,G,G,True,8,6
2,7,2,K,K,True,8,5
2,7,3,H,F,False,7,5
2,8,2,D,D,True,7,6
2,8,3,K,K,True,7,6
2,9,2,H,H,True,7,6
2,9,3,D,D,True,6,6
2,10,2,A,A,True,6,6
2,10,3,S,S,True,6,6
2,11,2,H,H,True,6,5
2,11,3,D,D,True,5,5
2,12,2,K,K,True,5,5
2,12,3,S,H,False,5,5
2,13,2,S,S,True,5,6
2,13,3,J,D,False,4,6
2,14,2,J,K,False,4,7
2,14,3,S,S,True,5,7
2,15,2,K,D,False,5,7
2,15,3,G,G,True,6,7
2,16,2,F,S,False,6,7
2,16,3,G,G,True,7,7
2,17,2,K,K,True,7,6
2,17,3,G,G,True,7,6
2,18,2,J,G,False,7,6
2,18,3,G,G,True,8,6
2,19,2,J,J,True,8,6
2,19,3,H,D,False,8,6
2,20,2,H,H,True,8,7
2,20,3,F,H,False,7,7
2,21,2,K,K,True,7,8
2,21,3,H,H,True,7,8
2,22,2,S,S,True,7,8
2,22,3,F,F,True,6,8
2,23,2,A,A,True,6,8
2,23,3,J,J,True,6,8
2,24,2,S,S,True,6,7
2,24,3,L,L,True,5,7
2,25,2,A,S,False,5,7
2,25,3,J,J,True,6,7
3,1,2,D,D,True,6,7
3,1,3,S,S,True,6,7
3,2,2,A,A,True,6,7
3,2,3,A,A,True,5,7
3,3,2,G,S,False,5,7
3,3,3,A,A,True,6,7
3,4,2,A,D,False,6,6
3,4,3,H,D,False,7,6
3,5,2,K,K,True,7,7
3,5,3,S,S,True,7,7
3,6,2,G,G,True,7,7
3,6,3,H,H,True,6,7
