session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,left,right,False,12,12
1,1,3,left,left,True,13,12
1,2,2,right,right,True,13,12
1,2,3,right,right,True,13,12
1,3,2,left,left,True,13,12
1,3,3,left,left,True,12,12
1,4,2,right,right,True,12,11
1,4,3,left,left,True,12,11
1,5,2,right,right,True,12,11
1,5,3,left,left,True,11,11
1,6,2,left,left,True,11,11
1,6,3,right,right,True,11,11
1,7,2,right,right,True,11,10
1,7,3,left,left,True,10,10
1,8,2,right,right,True,10,10
1,8,3,left,right,False,10,10
1,9,2,left,right,False,10,11
1,9,3,right,right,True,11,11
1,10,2,left,right,False,11,11
1,10,3,right,right,True,12,11
1,11,2,right,left,False,12,11
1,11,3,left,left,True,13,11
1,12,2,left,left,True,13,10
1,12,3,right,left,False,13,10
1,13,2,right,left,False,13,11
1,13,3,left,left,True,14,11
1,14,2,left,left,True,14,11
1,14,3,right,left,False,14,11
1,15,2,right,left,False,14,12
1,15,3,right,right,True,15,12
1,16,2,left,left,True,15,12
1,16,3,left,left,True,15,12
1,17,2,right,left,False,15,12
1,17,3,right,right,True,16,12
1,18,2,right,right,True,16,11
1,18,3,right,right,True,16,11
1,19,2,right,right,True,16,11
1,19,3,left,right,False,15,11
1,20,2,left,right,False,15,12
1,20,3,left,right,False,16,12
1,21,2,left,right,False,16,13
1,21,3,right,right,True,17,13
1,22,2,left,right,False,17,13
1,22,3,right,left,False,18,13
1,23,2,left,left,True,18,14
1,23,3,left,right,False,18,14
1,24,2,right,right,True,18,15
1,24,3,left,right,False,17,15
1,25,2,right,right,True,17,16
1,25,3,left,left,True,17,16
2,1,2,left,left,True,17,16
2,1,3,right,right,True,17,16
2,2,2,left,left,True,17,16
2,2,3,left,left,True,16,16
2,3,2,left,left,True,16,16
2,3,3,right,right,True,16,16
2,4,2,right,left,False,16,15
2,4,3,left,left,True,17,15
2,5,2,right,right,True,17,15
2,5,3,left,left,True,17,15
2,6,2,left,left,True,17,15
2,6,3,left,left,True,16,15
2,7,2,left,left,True,16,14
2,7,3,right,right,True,16,14
2,8,2,right,right,True,16,14
2,8,3,left,left,True,15,14
2,9,2,left,left,True,15,14
2,9,3,left,left,True,15,14
2,10,2,right,right,True,15,13
2,10,3,left,left,True,14,13
2,11,2,left,right,False,14,13
2,11,3,left,left,True,15,13
2,12,2,left,left,True,15,13
2,12,3,right,left,False,15,13
2,13,2,right,right,True,15,14
2,13,3,left,left,True,14,14
2,14,2,right,right,True,14,14
2,14,3,left,left,True,14,14
2,15,2,left,left,True,14,14
2,15,3,right,right,True,13,14
2,16,2,left,left,True,13,13
2,16,3,left,left,True,13,13
2,17,2,left,right,False,13,13
2,17,3,right,right,True,14,13
2,18,2,right,right,True,14,13
2,18,3,left,right,False,14,13
2,19,2,left,left,True,14,14
2,19,3,right,right,True,13,14
2,20,2,right,left,False,13,14
2,20,3,right,right,True,14,14
2,21,2,right,right,True,14,14
2,21,3,left,left,True,14,14
2,22,2,left,left,True,14,13
2,22,3,right,right,True,13,13
2,23,2,left,left,True,13,13
2,23,3,left,left,True,13,13
2,24,2,left,left,True,13,13
2,24,3,right,right,True,12,13
2,25,2,left,left,True,12,12
2,25,3,right,right,True,12,12
3,1,2,right,left,False,12,12
3,1,3,left,right,False,13,12
3,2,2,left,left,True,13,13
3,2,3,left,left,True,13,13
3,3,2,left,left,True,13,13
3,3,3,right,right,True,12,13
3,4,2,left,left,True,12,13
3,4,3,right,right,True,12,13
3,5,2,right,right,True,12,12
3,5,3,left,left,True,11,12
3,6,2,left,left,True,11,12
3,6,3,left,left,True,11,12
3,7,2,left,left,True,11,12
3,7,3,right,right,True,10,12
3,8,2,right,right,True,10,11
3,8,3,left,left,True,10,11
3,9,2,left,left,True,10,11
3,9,3,right,right,True,9,11
3,10,2,right,right,True,9,11
3,10,3,left,left,True,9,11
3,11,2,left,left,True,9,10
3,11,3,left,left,True,8,10
3,12,2,left,left,True,8,10
3,12,3,left,left,True,8,10
3,13,2,left,right,False,8,10
3,13,3,left,right,False,9,10
3,14,2,right,right,True,9,11
3,14,3,right,right,True,9,11
3,15,2,left,left,True,9,11
3,15,3,left,right,False,8,11
3,16,2,left,right,False,8,12
3,16,3,right,right,True,9,12
3,17,2,left,left,True,9,12
3,17,3,left,right,False,9,12
3,18,2,right,right,True,9,13
